date,star,text,compound,neutral,positive,negative,subjectivity
2009-02-26,4.0,"Don't be deceived by the small space and location, the food is phenomenal and very reasonably priced. It's family-owned and you can just feel the love in this place. I believe they're opening up a bigger place on W. Armitage and Milwaukee (I think). This is only my 2nd time to a Cuban resto so nothing was really familiar - I ordered the guajirito (fantabulous!), the Mamey shake (not too sweet, refreshing) plus the different fried goodies with guava and goat cheese (an unusual combo to me). Obviously, I enjoyed it very much and will come back again soon.",0.91,0.855,0.128,0.017,0.5660000000000001
2009-02-21,5.0,"maybe i don't enunciate, but i'm constantly getting something other than what i ordered. so i was not surprised that my vegetable sandwich was a tofu sandwich instead, and it's not like it was a ham sandwich or something so i ate at and was just as happy. or maybe happier. maybe the owner was like ""oh no, tofu for you. i'll bet you haven't had any protein all day"" in which case she's amazing. in fact, i'll bet that's it - because when i asked for a vegetable empanada she said, ""how about goat cheese instead?"" yeah, she's crazy intuitive.  ...and the sandwich was unbelievable. roasted onions and peppers, a huge slab of tofu in a mildly spicy red sauce. a two-napkin endeavor.",0.9037,0.735,0.166,0.099,0.6808333333333334
2009-02-20,5.0,"Delicious Cubano sandwich, and excellent coffee.  Charming owners.  What more do you want?",0.9147,0.414,0.586,0.0,0.875
2009-02-16,2.0,"Maybe I just don't appreciate good Cuban food but this place really doesn't do it for me at all. I've tried it 3 times now (I practically live next door) and each time I'm left with the same sentiment - 'meh'.  I've tried 4 different sandwiches, all were decent but nothing remarkable and definitely overpriced. The empanadas weren't too my liking either nor were any of the other sides. Everything seemed bland and soggy.  I may give this place another shot this summer but I'm resigned to 2 stars for now. I do give them credit renovating the nasty vacant hot-dog stand that occupied the space before they took over. The mural on the side of the building is beautiful and the interior decor is interesting as well.",-0.5334,0.757,0.103,0.14,0.51
2009-02-15,5.0,"I wish I had a car or did not have to take two buses to get here otherwise I would be there all the time.  Maybe that is a good thing actually.  Even though the double-meat in the Cubano scared me a little I went for it.  It was truly delicious.  I went with my part-Cuban friend who ordered a bunch of sides including the Yuca con mojo which was good, but not my favorite, but the Maduros, sweet plaintains were very good.  My favorite were the empanadas particularly the goats cheese one and the sauce that came with it.  I absolutely love empanadas and this one was delicious.  The people who worked there were very friendly. a cool atmosphere and not expensive.  I cannot wait to go back!",0.9852,0.68,0.264,0.056,0.6352083333333334
2009-02-13,3.0,"Mixed feelings about this place. I've had two items here so far, a Cubano and a ropa vieja sandwich. First, the Cubano: one of the best in town, competes with those from the most vaunted Cuban sandwich shops in the city. The problem is, those ""most vaunted Cuban sandwich shops"" do it just as well for a lot less money. Second, the ropa vieja. It was so stringy and clumpy that it was way too close to its literal namesake. I could not finish it because the clumps of meat were impossible to chew down into swallowable bits.",0.5574,0.91,0.063,0.027,0.42388888888888887
2009-01-30,5.0,"An easy five stars for the positively delicious, absolutely perfect Cuban sandwich.  Perfectly crispy toasty pressed bread with succulent and tender pork, salty-sweet ham, pickles, zippy mustard and loads of melty Swiss cheese.  Perfection!",0.9725,0.558,0.442,0.0,0.9583333333333334
2009-01-29,5.0,"CUBA LIBRE! I can't believe I didn't try this place sooner (I partially blame my inability to distinguish Clybourn from Elston).  Walking into 90 Miles, the intoxicating smell of mojo, ropa vieja, and cafe con leche instantly brought back fond memories of my trip to Cuba, strolling down the Malecon, exploring quaint paladares, and dancing the night away to afro-Cuban rhythms.   Don't let the small interior fool you, for within lies big flavor and also surprising value.  Having sampled Cuban fare at the source and in South Florida, I have to say that this place is legit.  I also dig the interior which includes old newspaper clippings and ads from Cuban newspapers plastered on the walls.   The dinners are a great value at $10 and include black beans, rice, and maduros. You absolutely MUST try the lechon (roast pork) here, which is tender, juicy, and will leave your plate empty within minutes.   Try this place out!  You won't be disappointed.",0.6414,0.823,0.098,0.079,0.4452991452991454
2009-01-27,5.0,"Great Cuban Sandwich!!! 10 dollar lunch worth paying for.  Drink, Sandwich, and Side. Great Service, nice clean sitting area (stools only).  Do yourself a favor and skip Kuma's for once and check this place out when your in the neighborhood.  The Fries were great. the Sandwiches were fantastic. Well done! Keep these people in business!",0.9822,0.606,0.394,0.0,0.7437500000000001
2009-01-27,4.0,"There isn't a lunch this side of my grandmother's cooking that is as good as a good Cuban sandwich and cafe cubano. With that said 90 miles does a great job at what they do. To me the enjoyable experience goes in this order (from least to most): Cafe Mariano La Unica Cafecito El Cubanito 90 miles Cuban The food is better than La Unica and Cafecito. Cafe Mariano makes me want to drop kick people. Food wise, I like El Cubanito a little better, but 90 miles was more pleasant in that there are seats. The waits are short. The owner up front is very friendly. Not to mention the Guava Cream Cheese empanada is great. I had the Ropa Vieja (2 points over El Cubanito who always claims to be out) and it was very, very good on the cold day. A little rumor is that another outpost is opening on Armitage where Calvin's was. That is a walk, summer or winter, and that is good news for me.",0.9888,0.78,0.212,0.008,0.626140350877193
2009-01-23,4.0,"This is a wonderful little gem !  The owners are friendly and helpful.  The food fresh and flavorful.  The owner and his wife are charming!  They were so great with my kids, bringing out things for them to taste.  We ordered empanadas that were delicious.  The meat was juicy and the crust flaky.  My daughter ordered a very tasty ham and cheese omlet and both my son and I ordered the Cubano sandwich. This was so delicious, lots of meat , gooey cheese, pickles and mustard.  This will be a place we will visit often.",0.9835,0.736,0.264,0.0,0.7277777777777777
